p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.30241754632002e-274,3.77762440302169,0.627,0.266,6.60483509264004e-271,4,Slc14a1
0,3.7326493192779,0.789,0.543,0,4,Arhgap6
0,3.67879165641824,0.871,0.606,0,4,Rasgef1b
0,3.66999454049382,0.881,0.576,0,4,Adgrl3
2.32171442331097e-173,3.6663541507391,0.517,0.187,4.64342884662194e-170,4,Tmem163
1.69495565961743e-83,3.62360572059949,0.538,0.308,3.38991131923486e-80,4,Ifitm6
1.02167864594941e-157,3.61211037473201,0.498,0.142,2.04335729189882e-154,4,Ackr1
6.78806825698112e-59,3.56868626103316,0.324,0.118,1.35761365139622e-55,4,Mgl2
5.34241210113794e-130,3.48487845084106,0.541,0.329,1.06848242022759e-126,4,Ppargc1a
0,3.4566505304967,0.763,0.475,0,4,Ptpro
0,3.42698320459755,0.882,0.568,0,4,Nrros
0,3.39809461125999,0.871,0.544,0,4,Chn2
3.00257246437836e-233,3.31618102114642,0.676,0.453,6.00514492875671e-230,4,Mir99ahg
2.60339999924143e-245,3.31238264691241,0.678,0.392,5.20679999848286e-242,4,Maml3
1.1431490616231e-202,3.28406346123027,0.644,0.454,2.2862981232462e-199,4,Ccl3
9.20242322783906e-231,3.26692946069852,0.325,0.024,1.84048464556781e-227,4,Xcl1
9.41576926563757e-61,3.21622383002528,0.553,0.458,1.88315385312751e-57,4,Tagap
1.63277017834629e-235,3.19250766012514,0.657,0.368,3.26554035669258e-232,4,Nlrp3
0,3.19244697004688,0.897,0.659,0,4,Rgs2
1.57059772417615e-270,3.16849350421132,0.774,0.584,3.14119544835231e-267,4,Stap1
1.22034029783193e-26,3.16536279355712,0.474,0.275,2.44068059566385e-23,4,Ms4a4c
4.47493098481154e-188,3.1554393334833,0.542,0.132,8.94986196962309e-185,4,Clec4a1
0,3.13974471751954,0.699,0.296,0,4,Egr3
6.97844037176754e-247,3.13698661251745,0.696,0.445,1.39568807435351e-243,4,H2-Ob
4.35653004426971e-50,3.13354829415563,0.377,0.101,8.71306008853943e-47,4,Negr1
4.52621326379969e-186,3.09299837489843,0.653,0.49,9.05242652759938e-183,4,Ccl4
0,3.09095294823232,0.911,0.516,0,4,S100a4
4.9724470759848e-285,3.07678805153742,0.722,0.448,9.94489415196959e-282,4,Rgl1
0,3.06799085750863,0.828,0.563,0,4,Bcl11a
